title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 4,radio,F1 Bab 4,A,B,C,D,C,Inovasi/Picture36.png
,radio,F1 Bab 4,A,B,C,D,D,Inovasi/Picture37.png
,radio,F1 Bab 4,A,B,C,D,B,Inovasi/Picture38.png
,radio,F1 Bab 4,A,B,C,D,D,Inovasi/Picture39.png
,radio,F1 Bab 4,A,B,C,D,A,Inovasi/Picture40.png
,radio,F1 Bab 4,A,B,C,D,A,Inovasi/Picture41.png
,radio,F1 Bab 4,A,B,C,D,B,Inovasi/Picture42.png
,radio,F1 Bab 4,A,B,C,D,D,Inovasi/Picture43.png
,radio,F1 Bab 4,A,B,C,D,B,Inovasi/Picture44.png
,radio,F1 Bab 4,A,B,C,D,D,Inovasi/Picture45.png
,radio,F1 Bab 4,A,B,C,D,C,Inovasi/Picture46.png
,radio,F1 Bab 4,A,B,C,D,B,Inovasi/Picture47.png
,radio,F1 Bab 4,A,B,C,D,A,Inovasi/Picture48.png
,radio,F1 Bab 4,A,B,C,D,B,Inovasi/Picture49.png
,radio,F1 Bab 4,A,B,C,D,D,Inovasi/Picture50.png
