title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 8,radio,F1 Bab 8,A,B,C,D,A,Inovasi/Picture86.png
,radio,F1 Bab 8,A,B,C,D,C,Inovasi/Picture87.png
,radio,F1 Bab 8,A,B,C,D,A,Inovasi/Picture88.png
,radio,F1 Bab 8,A,B,C,D,C,Inovasi/Picture89.png
,radio,F1 Bab 8,A,B,C,D,C,Inovasi/Picture90.png
,radio,F1 Bab 8,A,B,C,D,A,Inovasi/Picture91.png
,radio,F1 Bab 8,A,B,C,D,C,Inovasi/Picture92.png
,radio,F1 Bab 8,A,B,C,D,D,Inovasi/Picture93.png
,radio,F1 Bab 8,A,B,C,D,A,Inovasi/Picture94.png
,radio,F1 Bab 8,A,B,C,D,C,Inovasi/Picture95.png
,radio,F1 Bab 8,A,B,C,D,A,Inovasi/Picture96.png
,radio,F1 Bab 8,A,B,C,D,B,Inovasi/Picture97.png
