title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Sejarah T1 Bab 8,radio,F1 Bab 8,A,B,C,D,B,Galus/Picture68.png
,radio,F1 Bab 8,A,B,C,D,B,Galus/Picture69.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture70.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture71.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture72.png
,radio,F1 Bab 8,A,B,C,D,C,Galus/Picture73.png
,radio,F1 Bab 8,A,B,C,D,D,Galus/Picture74.png
,radio,F1 Bab 8,A,B,C,D,D,Galus/Picture75.png
,radio,F1 Bab 8,A,B,C,D,D,Galus/Picture76.png
,radio,F1 Bab 8,A,B,C,D,A,Galus/Picture77.png
