title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 2,radio,F1 Bab 2,A,B,C,D,D,Inovasi/Picture16.png
,radio,F1 Bab 2,A,B,C,D,B,Inovasi/Picture17.png
,radio,F1 Bab 2,A,B,C,D,A,Inovasi/Picture18.png
,radio,F1 Bab 2,A,B,C,D,B,Inovasi/Picture19.png
,radio,F1 Bab 2,A,B,C,D,A,Inovasi/Picture20.png
,radio,F1 Bab 2,A,B,C,D,C,Inovasi/Picture21.png
,radio,F1 Bab 2,A,B,C,D,C,Inovasi/Picture22.png
,radio,F1 Bab 2,A,B,C,D,D,Inovasi/Picture23.png
,radio,F1 Bab 2,A,B,C,D,A,Inovasi/Picture24.png
,radio,F1 Bab 2,A,B,C,D,C,Inovasi/Picture25.png
