title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Sejarah T1 Bab 4,radio,F1 Bab 4,A,B,C,D,C,Galus/Picture31.png
,radio,F1 Bab 4,A,B,C,D,D,Galus/Picture32.png
,radio,F1 Bab 4,A,B,C,D,B,Galus/Picture33.png
,radio,F1 Bab 4,A,B,C,D,D,Galus/Picture34.png
,radio,F1 Bab 4,A,B,C,D,C,Galus/Picture35.png
,radio,F1 Bab 4,A,B,C,D,D,Galus/Picture36.png
,radio,F1 Bab 4,A,B,C,D,B,Galus/Picture37.png
,radio,F1 Bab 4,A,B,C,D,D,Galus/Picture38.png
,radio,F1 Bab 4,A,B,C,D,B,Galus/Picture39.png
,radio,F1 Bab 4,A,B,C,D,D,Galus/Picture40.png
