title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 1,radio,F1 Bab 1,A,B,C,D,A,Inovasi/Picture1.png
,radio,F1 Bab 1,A,B,C,D,B,Inovasi/Picture2.png
,radio,F1 Bab 1,A,B,C,D,B,Inovasi/Picture3.png
,radio,F1 Bab 1,A,B,C,D,C,Inovasi/Picture4.png
,radio,F1 Bab 1,A,B,C,D,B,Inovasi/Picture5.png
,radio,F1 Bab 1,A,B,C,D,C,Inovasi/Picture6.png
,radio,F1 Bab 1,A,B,C,D,A,Inovasi/Picture7.png
,radio,F1 Bab 1,A,B,C,D,C,Inovasi/Picture8.png
,radio,F1 Bab 1,A,B,C,D,A,Inovasi/Picture9.png
,radio,F1 Bab 1,A,B,C,D,C,Inovasi/Picture10.png
,radio,F1 Bab 1,A,B,C,D,A,Inovasi/Picture11.png
,radio,F1 Bab 1,A,B,C,D,D,Inovasi/Picture12.png
,radio,F1 Bab 1,A,B,C,D,C,Inovasi/Picture13.png
,radio,F1 Bab 1,A,B,C,D,A,Inovasi/Picture14.png
,radio,F1 Bab 1,A,B,C,D,A,Inovasi/Picture15.png
