title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Sejarah T1 Bab 6,radio,F1 Bab 6,A,B,C,D,C,Galus/Picture51.png
,radio,F1 Bab 6,A,B,C,D,D,Galus/Picture52.png
,radio,F1 Bab 6,A,B,C,D,C,Galus/Picture53.png
,radio,F1 Bab 6,A,B,C,D,D,Galus/Picture54.png
,radio,F1 Bab 6,A,B,C,D,A,Galus/Picture55.png
,radio,F1 Bab 6,A,B,C,D,D,Galus/Picture56.png
,radio,F1 Bab 6,A,B,C,D,A,Galus/Picture57.png
,radio,F1 Bab 6,A,B,C,D,A,Galus/Picture58.png
,radio,F1 Bab 6,A,B,C,D,A,Galus/Picture59.png
,radio,F1 Bab 6,A,B,C,D,A,Galus/Picture60.png
