title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 7,radio,F1 Bab 7,A,B,C,D,C,Inovasi/Picture76.png
,radio,F1 Bab 7,A,B,C,D,C,Inovasi/Picture77.png
,radio,F1 Bab 7,A,B,C,D,D,Inovasi/Picture78.png
,radio,F1 Bab 7,A,B,C,D,A,Inovasi/Picture79.png
,radio,F1 Bab 7,A,B,C,D,C,Inovasi/Picture80.png
,radio,F1 Bab 7,A,B,C,D,A,Inovasi/Picture81.png
,radio,F1 Bab 7,A,B,C,D,A,Inovasi/Picture82.png
,radio,F1 Bab 7,A,B,C,D,B,Inovasi/Picture83.png
,radio,F1 Bab 7,A,B,C,D,A,Inovasi/Picture84.png
,radio,F1 Bab 7,A,B,C,D,A,Inovasi/Picture85.png
