title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Sejarah T1 Bab 3,radio,F1 Bab 3,A,B,C,D,A,Galus/Picture21.png
,radio,F1 Bab 3,A,B,C,D,D,Galus/Picture22.png
,radio,F1 Bab 3,A,B,C,D,D,Galus/Picture23.png
,radio,F1 Bab 3,A,B,C,D,C,Galus/Picture24.png
,radio,F1 Bab 3,A,B,C,D,A,Galus/Picture25.png
,radio,F1 Bab 3,A,B,C,D,C,Galus/Picture26.png
,radio,F1 Bab 3,A,B,C,D,D,Galus/Picture27.png
,radio,F1 Bab 3,A,B,C,D,B,Galus/Picture28.png
,radio,F1 Bab 3,A,B,C,D,A,Galus/Picture29.png
,radio,F1 Bab 3,A,B,C,D,C,Galus/Picture30.png
