title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Sejarah T1 Bab 5,radio,F1 Bab 5,A,B,C,D,B,Galus/Picture41.png
,radio,F1 Bab 5,A,B,C,D,D,Galus/Picture42.png
,radio,F1 Bab 5,A,B,C,D,B,Galus/Picture43.png
,radio,F1 Bab 5,A,B,C,D,C,Galus/Picture44.png
,radio,F1 Bab 5,A,B,C,D,A,Galus/Picture45.png
,radio,F1 Bab 5,A,B,C,D,A,Galus/Picture46.png
,radio,F1 Bab 5,A,B,C,D,D,Galus/Picture47.png
,radio,F1 Bab 5,A,B,C,D,D,Galus/Picture48.png
,radio,F1 Bab 5,A,B,C,D,C,Galus/Picture49.png
,radio,F1 Bab 5,A,B,C,D,D,Galus/Picture50.png
