title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 3,radio,F1 Bab 3,A,B,C,D,C,Inovasi/Picture26.png
,radio,F1 Bab 3,A,B,C,D,A,Inovasi/Picture27.png
,radio,F1 Bab 3,A,B,C,D,B,Inovasi/Picture28.png
,radio,F1 Bab 3,A,B,C,D,D,Inovasi/Picture29.png
,radio,F1 Bab 3,A,B,C,D,C,Inovasi/Picture30.png
,radio,F1 Bab 3,A,B,C,D,D,Inovasi/Picture31.png
,radio,F1 Bab 3,A,B,C,D,C,Inovasi/Picture32.png
,radio,F1 Bab 3,A,B,C,D,A,Inovasi/Picture33.png
,radio,F1 Bab 3,A,B,C,D,A,Inovasi/Picture34.png
,radio,F1 Bab 3,A,B,C,D,C,Inovasi/Picture35.png
