title,type,question,A,B,C,D,answer,image
Inovasi APlus T1 Bab 6,radio,F1 Bab 6,A,B,C,D,D,Inovasi/Picture66.png
,radio,F1 Bab 6,A,B,C,D,A,Inovasi/Picture67.png
,radio,F1 Bab 6,A,B,C,D,D,Inovasi/Picture68.png
,radio,F1 Bab 6,A,B,C,D,C,Inovasi/Picture69.png
,radio,F1 Bab 6,A,B,C,D,B,Inovasi/Picture70.png
,radio,F1 Bab 6,A,B,C,D,C,Inovasi/Picture71.png
,radio,F1 Bab 6,A,B,C,D,B,Inovasi/Picture72.png
,radio,F1 Bab 6,A,B,C,D,B,Inovasi/Picture73.png
,radio,F1 Bab 6,A,B,C,D,A,Inovasi/Picture74.png
,radio,F1 Bab 6,A,B,C,D,C,Inovasi/Picture75.png
